Time,index A,index B,index C,index D
2022/1/13 0:50,78.15,26.21,12.93,14.59
2022/1/13 1:50,78.39,25.22,12.93,14.28
2022/1/13 2:50,79.22,24.6,12.41,13.7
2022/1/13 3:50,79.52,23.88,11.55,13.56
2022/1/13 4:50,80.04,23.48,11.55,13.47
2022/1/13 5:50,80.51,22.41,11.72,13.38
2022/1/13 6:50,79.18,23.97,12.24,13.79
2022/1/13 7:50,79.56,24.02,12.41,14.95
2022/1/13 8:50,79.76,24.06,11.89,15.58
2022/1/13 9:50,79.29,23.93,12.24,17.05
2022/1/13 10:50,79.45,23.34,11.72,17.23
2022/1/13 11:50,79.28,23.3,11.37,16.52
2022/1/13 12:50,79.96,22.81,11.37,16.47
2022/1/13 13:50,80.41,21.91,10.68,17.72
2022/1/13 14:50,80.09,22.36,11.03,16.87
2022/1/13 15:50,79.87,23.26,10.68,17.01
2022/1/13 16:50,80.26,23.21,10.34,16.65
2022/1/13 17:50,80,23.21,10.68,16.78
2022/1/13 18:50,79.59,24.37,11.37,18.21
2022/1/13 19:50,79.59,24.55,11.72,19.11
2022/1/13 20:50,79.56,24.19,11.89,20.45
2022/1/13 21:50,79.07,24.64,12.07,15.22
2022/1/13 22:50,79.22,24.15,12.59,13.07
2022/1/13 23:50,80.06,23.26,11.72,12.89
2022/1/14 0:50,79.78,22.99,11.55,11.77
2022/1/14 1:50,79.41,23.57,11.2,12.36
2022/1/14 2:50,80,23.3,11.37,12.62
2022/1/14 3:50,80.16,23.12,11.2,13.12
2022/1/14 4:50,80.19,22.76,11.03,13.83
2022/1/14 5:50,79.37,24.02,12.07,13.52
2022/1/14 6:50,79.18,24.37,11.89,14.1
2022/1/14 7:50,80.04,22.9,10.51,14.68
2022/1/14 8:50,79.83,23.93,10.85,17.54
2022/1/14 9:50,80.65,21.87,9.82,16.43
2022/1/14 10:50,80.14,22.94,10.51,15.89
2022/1/14 11:50,79.07,23.66,11.2,17.68
2022/1/14 12:50,79.72,22.09,10.34,18.44
2022/1/14 13:50,79.45,23.08,11.03,16.07
2022/1/14 14:50,80.45,21.33,10.16,16.69
2022/1/14 15:50,80.61,20.62,9.99,17.23
2022/1/14 16:50,80.07,22.85,11.55,17.36
2022/1/14 17:50,80.88,22.45,11.03,18.8
2022/1/14 18:50,80.26,22.76,11.37,19.91
2022/1/14 19:50,80.57,23.03,11.55,15.31
2022/1/14 20:50,80.44,22.99,11.37,15.04
2022/1/14 21:50,80.21,22.49,11.37,14.01
2022/1/14 22:50,79.51,22.54,11.2,13.7
2022/1/14 23:50,80.77,22.14,11.37,13.3
2022/1/15 0:50,80.48,22.54,11.03,13.03
2022/1/15 1:50,80.3,22.63,10.68,13.34
2022/1/15 2:50,80.96,21.78,10.34,12.49
2022/1/15 3:50,81.05,21.6,10.51,12.49
2022/1/15 4:50,81.27,21.42,10.51,12.89
2022/1/15 5:50,81.67,21.82,10.68,12.85
2022/1/15 6:50,81.12,23.39,11.2,13.34
2022/1/15 7:50,80.44,24.69,10.34,18.3
2022/1/15 8:50,79.38,25.31,11.03,19.78
2022/1/15 9:50,79.58,24.69,11.2,18.39
2022/1/15 10:50,77.87,25.31,12.59,16.69
2022/1/15 11:50,78.36,25.22,12.41,16.07
2022/1/15 12:50,78.31,24.6,11.89,15.22
2022/1/15 13:50,78.67,24.64,11.55,13.83
2022/1/15 14:50,78.67,24.91,12.07,16.87
2022/1/15 15:50,78.52,25.27,11.89,16.96
2022/1/15 16:50,77.73,25.22,12.24,16.25
2022/1/15 17:50,79.68,23.48,10.68,19.06
2022/1/15 18:50,78.97,25.09,11.89,22.11
2022/1/15 19:50,79.21,23.93,11.72,26.17
2022/1/15 20:50,79.35,23.21,11.55,27.38
2022/1/15 21:50,80.02,22.9,11.55,23.04
2022/1/15 22:50,80.53,22.49,11.55,19.11
2022/1/15 23:50,81.16,21.65,11.55,16.96
2022/1/16 0:50,80.19,22.27,11.2,15.26
2022/1/16 1:50,80.16,21.6,10.85,13.65
2022/1/16 2:50,78.62,23.79,11.72,13.25
2022/1/16 3:50,79,23.66,12.07,13.52
2022/1/16 4:50,78.74,23.52,11.55,14.46
2022/1/16 5:50,78.31,25.13,12.07,16.11
2022/1/16 6:50,77.36,26.25,12.41,15.08
2022/1/16 7:50,78.46,25.85,12.59,16.74
2022/1/16 8:50,79.31,23.79,12.41,18.97
2022/1/16 9:50,79.76,22.49,11.37,17.14
2022/1/16 10:50,80.04,21.96,11.37,15.26
2022/1/16 11:50,79.27,22.9,11.72,13.97
2022/1/16 12:50,78.09,24.28,12.24,14.73
2022/1/16 13:50,78.31,23.88,12.07,12.58
2022/1/16 14:50,79.25,23.52,12.59,12.36
2022/1/16 15:50,78.76,24.64,12.59,14.23
2022/1/16 16:50,79,23.75,12.07,14.95
