Time,Mineral_parameter_1,Mineral_parameter_2,Mineral_parameter_3,Mineral_parameter_4
2022/1/25 0:00,55.26,108.03,43.29,20.92
2022/1/26 0:00,55.28,102.38,46.13,20.1
2022/1/27 0:00,54.04,102.21,47.94,21.3
2022/1/28 0:00,56.43,112.74,43.54,20.14
2022/1/29 0:00,54.89,109.21,43.6,21.64
2022/1/30 0:00,57.34,112.91,42.87,18.8
2022/1/31 0:00,58.81,109.09,45.89,17.47
2022/2/1 0:00,62.29,133.06,38.95,16.36
2022/2/2 0:00,60.14,123.98,44.56,16.21
2022/2/3 0:00,54.93,87.87,52.89,20.57
2022/2/4 0:00,56.43,98.23,50.29,19.88
2022/2/5 0:00,50.91,84.99,51.02,23.51
2022/2/6 0:00,57.88,106.2,47.1,19.63
2022/2/7 0:00,54.08,96.61,49.03,21.09
2022/2/8 0:00,59.92,117.44,42.21,16.88
2022/2/9 0:00,59.8,113.2,49.51,16.56
2022/2/10 0:00,58.53,120.67,45.41,18.65
2022/2/11 0:00,60,117.7,47.94,16.76
2022/2/12 0:00,63.3,132.38,44.08,15.28
2022/2/13 0:00,57.91,101.79,50.17,18.71
2022/2/14 0:00,55.92,106.07,47.7,20.4
2022/2/15 0:00,54.09,101.96,48.73,22.89
2022/2/16 0:00,61.6,125.34,43.05,16.66
2022/2/17 0:00,59.72,114.9,45.1,16.44
2022/2/18 0:00,58.12,107.43,49.27,17.58
2022/2/19 0:00,56.74,109.3,47.4,19.98
2022/2/20 0:00,54.69,103.57,49.33,22.19
2022/2/21 0:00,55.67,101.37,47.1,20.87
2022/2/22 0:00,55.6,100.64,49.21,20.38
2022/2/23 0:00,55.84,112.35,47.7,20.43
2022/2/24 0:00,58.39,117.32,48.48,17.88
2022/2/25 0:00,58.12,110.15,49.03,18.01
2022/2/26 0:00,57.83,107.77,50.05,17.65
2022/2/27 0:00,54.44,105.14,50.9,20.63
2022/2/28 0:00,60.6,123.72,43.29,17.91
2022/3/1 0:00,57.17,114.14,45.35,18.57
2022/3/2 0:00,53.74,108.54,45.17,21.16
2022/3/3 0:00,57.23,111.59,47.28,18.87
2022/3/4 0:00,55,102.93,48.36,20.21
2022/3/5 0:00,55.53,105.06,44.68,18.8
2022/3/6 0:00,56.08,113.75,45.77,20.86
2022/3/7 0:00,54.39,98.56,46.98,19.5
2022/3/8 0:00,57.47,109.47,46.61,17.77
2022/3/9 0:00,56.78,112.69,45.83,19.03
2022/3/10 0:00,54.19,98.61,47.88,21.55
2022/3/11 0:00,54.44,94.32,47.88,23.08
2022/3/12 0:00,58.14,108.41,44.92,18.18
2022/3/13 0:00,54.41,93.77,50.84,19.31
2022/3/14 0:00,57.02,109.98,49.63,19.21
2022/3/15 0:00,55.12,112.1,48.06,20.26
2022/3/16 0:00,57.85,113.63,45.77,18.23
2022/3/17 0:00,53.73,106.88,43.78,21.3
2022/3/18 0:00,58.53,117.06,43.54,18.37
2022/3/19 0:00,55.75,102.09,47.4,20.51
2022/3/20 0:00,54.35,99.12,45.41,21.76
2022/3/21 0:00,53.93,97.63,47.04,21.81
2022/3/22 0:00,56.76,101.07,47.4,19.14
2022/3/23 0:00,54.6,102.47,46.43,20.5
2022/3/24 0:00,54.13,91.99,49.21,20.82
2022/3/25 0:00,52.06,80.15,52.35,22.35
2022/3/26 0:00,56.25,104.5,48.91,18.56
2022/3/27 0:00,55.54,99.54,45.35,20.8
2022/3/28 0:00,56.19,100.86,48.24,19.33
2022/3/29 0:00,53.05,99.8,46.85,22.37
2022/3/30 0:00,56.29,107.26,43.17,20.45
2022/3/31 0:00,53.73,100.18,43.35,21.85
2022/4/1 0:00,55.11,106.46,45.83,20.26
2022/4/2 0:00,54.94,95.64,48.97,20.34
2022/4/3 0:00,54.3,101.07,47.1,20.65
2022/4/4 0:00,53.98,89.87,51.14,20.67
2022/4/5 0:00,52.95,88.09,52.89,21.59
2022/4/6 0:00,56.13,103.83,46.67,20.35
2022/4/7 0:00,54.4,105.14,49.03,20.82
2022/4/8 0:00,52.88,91.27,47.22,22.26
2022/4/9 0:00,54.44,92.12,48.85,21.83
2022/4/10 0:00,56.27,111.38,47.52,20.26
2022/4/11 0:00,56.71,111.46,46.67,18.48
