Time,Process parameter 1,Process parameter 2,Process parameter 3,Process parameter 4
2022/1/25 2:30,1.25,3.09,226.16,181.23
2022/1/25 5:30,1.25,3.09,242.44,164.45
2022/1/25 8:30,1.25,3.09,236.59,146.7
2022/1/25 11:30,1.25,3.09,217.01,158.23
2022/1/25 14:30,1.25,3.09,233.1,149.76
2022/1/25 17:30,1.25,3.09,240.1,151.45
2022/1/25 20:30,1.25,3.09,233.1,162.37
2022/1/25 23:30,1.25,3.09,254.27,144.92
2022/1/26 2:30,1.25,3.09,243.62,143.4
2022/1/26 5:30,1.25,3.09,261.45,141.37
2022/1/26 8:30,1.25,3.09,248.57,144.72
2022/1/26 11:30,1.25,3.09,245.97,152.57
2022/1/26 14:30,1.25,3.09,230.78,157.2
2022/1/26 17:30,1.25,3.09,219.28,167.05
2022/1/26 20:30,1.25,3.09,236.59,162.37
2022/1/26 23:30,1.25,3.09,238.93,157.2
2022/1/27 2:30,1.25,3.09,234.26,160.3
2022/1/27 5:30,1.25,3.09,236.59,157.2
2022/1/27 8:30,1.25,3.09,244.8,147.97
2022/1/27 11:30,1.25,3.09,254.27,142.89
2022/1/27 14:30,1.25,3.09,233.1,164.97
2022/1/27 17:30,1.25,3.09,243.62,167.05
2022/1/27 20:30,1.25,3.09,259.05,151.04
2022/1/27 23:30,1.25,3.09,274.52,153.91
2022/1/28 2:30,1.25,3.09,251.42,149.61
2022/1/28 5:30,1.25,3.09,280.39,147.77
2022/1/28 8:30,1.25,3.09,261.45,151.45
2022/1/28 11:30,1.25,3.09,260.01,138.65
2022/1/28 14:30,1.25,3.09,262.9,141.68
2022/1/28 17:30,1.25,3.09,251.42,148.99
2022/1/28 20:30,1.25,3.09,234.26,153.09
2022/1/28 23:30,1.25,3.09,256.66,149.5
2022/1/29 2:30,1.25,3.09,238.93,154.11
2022/1/29 5:30,1.25,3.09,253.08,154.63
2022/1/29 8:30,1.25,3.09,259.05,142.89
2022/1/29 11:30,1.25,3.09,282.11,152.57
2022/1/29 14:30,1.25,3.09,290.75,153.6
2022/1/29 17:30,1.25,3.09,274.77,149.5
2022/1/29 20:30,1.25,3.09,259.05,160.3
2022/1/29 23:30,1.25,3.09,288.27,130.34
2022/1/30 2:30,1.25,3.09,266.27,145.94
2022/1/30 5:30,1.25,3.09,247.16,154.11
2022/1/30 8:30,1.25,3.09,261.45,141.07
2022/1/30 11:30,1.25,3.09,234.49,148.38
2022/1/30 14:30,1.25,3.09,242.44,154.63
2022/1/30 17:30,1.25,3.09,267.24,152.06
2022/1/30 20:30,1.25,3.09,256.06,139.1
2022/1/30 20:30,1.25,3.09,320.94,136.84
2022/1/30 23:30,1.25,3.09,261.45,150.01
2022/1/31 2:30,1.25,3.09,281.86,147.77
2022/1/31 2:58,1.25,3.09,233.1,167.57
2022/1/31 5:30,1.25,3.09,263.86,148.99
2022/1/31 8:30,1.25,3.09,251.89,183.35
2022/1/31 11:30,1.25,3.09,259.05,146.95
2022/1/31 14:30,1.25,3.09,255.47,148.99
2022/1/31 17:30,1.25,3.09,235.42,161.85
2022/1/31 20:30,1.25,3.09,251.89,153.6
2022/1/31 23:30,1.25,3.09,282.11,130.34
2022/2/1 2:30,1.25,3.09,271.12,140.36
2022/2/1 5:30,1.25,3.09,256.66,146.44
2022/2/1 8:30,1.25,3.09,277.45,129.04
2022/2/1 11:30,1.25,3.09,283.34,123.7
