Time,Temperature of system I,Temperature of system II
2022/1/25 0:01,1347.85,950.42
2022/1/25 0:02,1347.45,950.33
2022/1/25 0:03,1346.03,949.87
2022/1/25 0:04,1348.5,950.92
2022/1/25 0:05,1347.97,950.86
2022/1/25 0:06,1347.93,950.49
2022/1/25 0:07,1347.53,950.48
2022/1/25 0:08,1347.93,950.38
2022/1/25 0:09,1347.93,950.32
2022/1/25 0:10,1348.6,950.85
2022/1/25 0:11,1347.32,950.34
2022/1/25 0:12,1347.36,950.74
2022/1/25 0:13,1347.58,950.08
2022/1/25 0:14,1347.75,950.26
2022/1/25 0:15,1347.75,950.26
2022/1/25 0:16,1347.58,950.42
2022/1/25 0:17,1347,950.21
2022/1/25 0:18,1347.4,949.88
2022/1/25 0:19,1347.13,950.19
2022/1/25 0:20,1347.66,950.35
2022/1/25 0:21,1348.38,951.08
2022/1/25 0:22,1347.32,950.06
2022/1/25 0:23,1347.32,950.68
2022/1/25 0:24,1347.36,950.6
2022/1/25 0:25,1347.93,950.18
2022/1/25 0:26,1346.95,949.16
2022/1/25 0:27,1348.24,950.44
2022/1/25 0:28,1347.05,950.18
2022/1/25 0:29,1347.22,950.18
2022/1/25 0:30,1346.91,949.84
2022/1/25 0:31,1347.32,950.18
2022/1/25 0:32,1347.67,949.76
2022/1/25 0:33,1348.16,950.81
2022/1/25 0:34,1347.89,950
2022/1/25 0:35,1347.8,951.38
2022/1/25 0:36,1347.62,950.23
2022/1/25 0:37,1347.8,950.42
2022/1/25 0:38,1347.44,950.65
2022/1/25 0:39,1346.91,949.92
2022/1/25 0:40,1347.71,950.37
2022/1/25 0:41,1347.31,950.17
2022/1/25 0:42,1348.64,950.72
2022/1/25 0:43,1347.18,949.56
2022/1/25 0:44,1347.18,950.58
2022/1/25 0:45,1347.18,949.95
2022/1/25 0:46,1347.45,950.14
2022/1/25 0:47,1347.36,949.85
2022/1/25 0:48,1346.79,949.72
2022/1/25 0:49,1346.87,950.15
2022/1/25 0:50,1347.49,950.4
2022/1/25 0:51,1347.49,950.54
2022/1/25 0:52,1347.1,950.31
2022/1/25 0:53,1347.44,950.12
2022/1/25 0:54,1347.44,950.46
2022/1/25 0:55,1347.44,950.28
2022/1/25 0:56,1348.38,950.68
2022/1/25 0:57,1280.14,938.67
2022/1/25 0:58,1273.51,937.4
2022/1/25 0:59,1273.24,937.35
2022/1/25 1:00,1273.51,937.36
2022/1/25 1:01,1272.76,937.37
2022/1/25 1:02,1273.2,937.84
2022/1/25 1:03,1273.1,937.49
2022/1/25 1:04,1273.25,937.42
2022/1/25 1:05,1273.07,937.55
2022/1/25 1:06,1274.39,937.96
2022/1/25 1:07,1273.02,937.32
2022/1/25 1:08,1273.51,937.28
2022/1/25 1:09,1273.51,937.42
2022/1/25 1:10,1273.15,937.36
2022/1/25 1:11,1273.15,937.36
2022/1/25 1:12,1273.64,937.72
2022/1/25 1:13,1273.25,937.51
2022/1/25 1:14,1272.76,937.36
2022/1/25 1:15,1273.11,937.42
2022/1/25 1:16,1273.06,937.61
2022/1/25 1:17,1273.37,937.33
2022/1/25 1:18,1272.31,936.8
2022/1/25 1:19,1273.25,937.34
2022/1/25 1:20,1273.29,937.3
2022/1/25 1:21,1274.13,938.45
2022/1/25 1:22,1272.62,936.74
2022/1/25 1:23,1273.11,936.93
2022/1/25 1:24,1273.9,937.61
2022/1/25 1:25,1273.64,938.46
2022/1/25 1:26,1273.06,937.1
2022/1/25 1:27,1273.06,937.53
2022/1/25 1:28,1273.25,937.3
2022/1/25 1:29,1273.51,937.34
2022/1/25 1:30,1274.08,937.82
2022/1/25 1:31,1273.37,937.41
2022/1/25 1:32,1273.42,937.27
2022/1/25 1:33,1273.42,937.47
2022/1/25 1:34,1273.6,937.44
2022/1/25 1:35,1273.15,937.76
2022/1/25 1:36,1273.2,937.35
2022/1/25 1:37,1273.2,937.35
2022/1/25 1:38,1273.59,937.65
2022/1/25 1:39,1271.96,935.85
2022/1/25 1:40,1273.55,937.33
2022/1/25 1:41,1273.55,937.34
2022/1/25 1:42,1273.02,937.27
2022/1/25 1:43,1273.02,937.27
2022/1/25 1:44,1272.23,936.55
2022/1/25 1:45,1273.07,937.19
2022/1/25 1:46,1273.47,937.61
2022/1/25 1:47,1273.73,937.37
2022/1/25 1:48,1274.57,938.35
2022/1/25 1:49,1273.2,937.36
2022/1/25 1:50,1274.43,938.2
2022/1/25 1:51,1272.8,937.17
2022/1/25 1:52,1273.73,937.67
2022/1/25 1:53,1272.22,936.62
2022/1/25 1:54,1272.93,937.34
2022/1/25 1:55,1272.89,937.35
2022/1/25 1:56,1273.37,937.35
2022/1/25 1:57,1274.3,937.91
2022/1/25 1:58,1273.51,937.51
2022/1/25 1:59,1274.26,938.47
2022/1/25 2:00,1273.24,937.43
2022/1/25 2:01,1273.24,937.63
2022/1/25 2:02,1272.8,936.96
2022/1/25 2:03,1273.55,937.46
2022/1/25 2:04,1273.51,937.73
2022/1/25 2:05,1273.1,937.53
2022/1/25 2:06,1272.45,936.91
2022/1/25 2:07,1273.06,937.49
2022/1/25 2:08,1273.29,937.33
2022/1/25 2:09,1273.38,937.36
2022/1/25 2:10,1273.68,937.39
2022/1/25 2:11,1273.11,937.61
2022/1/25 2:12,1272.89,937.21
2022/1/25 2:13,1273.47,937.31
2022/1/25 2:14,1273.47,937.08
2022/1/25 2:15,1272.89,937.42
2022/1/25 2:16,1273.33,937.34
2022/1/25 2:17,1274.7,938.2
2022/1/25 2:18,1273.64,937.51
2022/1/25 2:19,1273.2,937.28
2022/1/25 2:20,1272.93,936.95
2022/1/25 2:21,1272.93,937.04
2022/1/25 2:22,1273.33,937.68
2022/1/25 2:23,1273.86,937.91
2022/1/25 2:24,1273.42,937.48
2022/1/25 2:25,1273.6,937.82
2022/1/25 2:26,1273.15,937.34
2022/1/25 2:27,1273.15,937.19
2022/1/25 2:28,1273.78,937.13
2022/1/25 2:29,1273.9,937.38
2022/1/25 2:30,1273.2,937.21
2022/1/25 2:31,1274.48,938.52
2022/1/25 2:32,1274.21,937.47
2022/1/25 2:33,1273.47,937.35
2022/1/25 2:34,1273.02,937.28
2022/1/25 2:35,1273.33,937.2
2022/1/25 2:36,1272.54,936.48
2022/1/25 2:37,1272.84,937.21
2022/1/25 2:38,1273.37,937.3
2022/1/25 2:39,1273.42,937.6
2022/1/25 2:40,1273.47,937.56
2022/1/25 2:41,1273.07,937.45
2022/1/25 2:42,1273.07,937.37
2022/1/25 2:43,1273.03,937.57
2022/1/25 2:44,1273.11,937.35
2022/1/25 2:45,1273.11,937.1
2022/1/25 2:46,1273.56,937.5
2022/1/25 2:47,1273.77,937.73
2022/1/25 2:48,1273.15,936.96
2022/1/25 2:49,1273.81,938.39
2022/1/25 2:50,1273.86,938.16
2022/1/25 2:51,1273.55,937.56
2022/1/25 2:52,1272.84,937.23
2022/1/25 2:53,1272.98,937.13
2022/1/25 2:54,1273.06,937.24
