Time,Temperature of system I,Temperature of system II,index A,index B,index C,index D,Mineral_parameter_1,Mineral_parameter_2,Mineral_parameter_3,Mineral_parameter_4
2022/4/8 0:00,341.4,665.04,,,,,52.88,91.27,47.22,22.26
2022/4/8 0:01,341.4,665.04,,,,,52.88,91.27,47.22,22.26
2022/4/8 0:02,341.4,665.04,,,,,52.88,91.27,47.22,22.26
2022/4/8 0:03,341.4,665.04,,,,,52.88,91.27,47.22,22.26
2022/4/8 0:04,341.4,665.04,,,,,52.88,91.27,47.22,22.26
2022/4/8 0:05,341.4,665.04,,,,,52.88,91.27,47.22,22.26
2022/4/8 0:06,341.4,665.04,,,,,52.88,91.27,47.22,22.26
2022/4/8 0:07,341.4,665.04,,,,,52.88,91.27,47.22,22.26
2022/4/8 0:08,341.4,665.04,,,,,52.88,91.27,47.22,22.26
2022/4/8 0:09,341.4,665.04,,,,,52.88,91.27,47.22,22.26
2022/4/8 0:10,341.4,665.04,,,,,52.88,91.27,47.22,22.26
2022/4/8 0:11,341.4,665.04,,,,,52.88,91.27,47.22,22.26
2022/4/8 0:12,341.4,665.04,,,,,52.88,91.27,47.22,22.26
2022/4/8 0:13,341.4,665.04,,,,,52.88,91.27,47.22,22.26
2022/4/8 0:14,341.4,665.04,,,,,52.88,91.27,47.22,22.26
2022/4/8 0:15,341.4,665.04,,,,,52.88,91.27,47.22,22.26
2022/4/8 0:16,341.4,665.04,,,,,52.88,91.27,47.22,22.26
2022/4/8 0:17,341.4,665.04,,,,,52.88,91.27,47.22,22.26
2022/4/8 0:18,341.4,665.04,,,,,52.88,91.27,47.22,22.26
2022/4/8 0:19,341.4,665.04,,,,,52.88,91.27,47.22,22.26
2022/4/8 0:20,341.4,665.04,,,,,52.88,91.27,47.22,22.26
2022/4/8 0:21,341.4,665.04,,,,,52.88,91.27,47.22,22.26
2022/4/8 0:22,341.4,665.04,,,,,52.88,91.27,47.22,22.26
2022/4/8 0:23,341.4,665.04,,,,,52.88,91.27,47.22,22.26
2022/4/8 0:24,341.4,665.04,,,,,52.88,91.27,47.22,22.26
2022/4/8 0:25,341.4,665.04,,,,,52.88,91.27,47.22,22.26
2022/4/8 0:26,341.4,665.04,,,,,52.88,91.27,47.22,22.26
2022/4/8 0:27,341.4,665.04,,,,,52.88,91.27,47.22,22.26
2022/4/8 0:28,341.4,665.04,,,,,52.88,91.27,47.22,22.26
2022/4/8 0:29,341.4,665.04,,,,,52.88,91.27,47.22,22.26
2022/4/8 0:30,341.4,665.04,,,,,52.88,91.27,47.22,22.26
2022/4/8 0:31,341.4,665.04,,,,,52.88,91.27,47.22,22.26
2022/4/8 0:32,341.4,665.04,,,,,52.88,91.27,47.22,22.26
2022/4/8 0:33,341.4,665.04,,,,,52.88,91.27,47.22,22.26
2022/4/8 0:34,341.4,665.04,,,,,52.88,91.27,47.22,22.26
2022/4/8 0:35,341.4,665.04,,,,,52.88,91.27,47.22,22.26
2022/4/8 0:36,341.4,665.04,,,,,52.88,91.27,47.22,22.26
2022/4/8 0:37,341.4,665.04,,,,,52.88,91.27,47.22,22.26
2022/4/8 0:38,341.4,665.04,,,,,52.88,91.27,47.22,22.26
