Time,Temperature of system I,Temperature of system II,index A,index B,index C,index D,Mineral_parameter_1,Mineral_parameter_2,Mineral_parameter_3,Mineral_parameter_4,Process parameter 3,Process parameter 4
2022/4/8 0:00,341.4,665.04,,,,,52.88,91.27,47.22,22.26,306.7283333,155.7483333
2022/4/8 0:01,341.4,665.04,,,,,52.88,91.27,47.22,22.26,306.8102778,155.7186111
2022/4/8 0:02,341.4,665.04,,,,,52.88,91.27,47.22,22.26,306.8922222,155.6888889
2022/4/8 0:03,341.4,665.04,,,,,52.88,91.27,47.22,22.26,306.9741667,155.6591667
2022/4/8 0:04,341.4,665.04,,,,,52.88,91.27,47.22,22.26,307.0561111,155.6294444
2022/4/8 0:05,341.4,665.04,,,,,52.88,91.27,47.22,22.26,307.1380556,155.5997222
2022/4/8 0:06,341.4,665.04,,,,,52.88,91.27,47.22,22.26,307.22,155.57
2022/4/8 0:07,341.4,665.04,,,,,52.88,91.27,47.22,22.26,307.3019444,155.5402778
2022/4/8 0:08,341.4,665.04,,,,,52.88,91.27,47.22,22.26,307.3838889,155.5105556
2022/4/8 0:09,341.4,665.04,,,,,52.88,91.27,47.22,22.26,307.4658333,155.4808333
2022/4/8 0:10,341.4,665.04,,,,,52.88,91.27,47.22,22.26,307.5477778,155.4511111
2022/4/8 0:11,341.4,665.04,,,,,52.88,91.27,47.22,22.26,307.6297222,155.4213889
2022/4/8 0:12,341.4,665.04,,,,,52.88,91.27,47.22,22.26,307.7116667,155.3916667
2022/4/8 0:13,341.4,665.04,,,,,52.88,91.27,47.22,22.26,307.7936111,155.3619444
2022/4/8 0:14,341.4,665.04,,,,,52.88,91.27,47.22,22.26,307.8755556,155.3322222
2022/4/8 0:15,341.4,665.04,,,,,52.88,91.27,47.22,22.26,307.9575,155.3025
2022/4/8 0:16,341.4,665.04,,,,,52.88,91.27,47.22,22.26,308.0394444,155.2727778
2022/4/8 0:17,341.4,665.04,,,,,52.88,91.27,47.22,22.26,308.1213889,155.2430556
2022/4/8 0:18,341.4,665.04,,,,,52.88,91.27,47.22,22.26,308.2033333,155.2133333
2022/4/8 0:19,341.4,665.04,,,,,52.88,91.27,47.22,22.26,308.2852778,155.1836111
2022/4/8 0:20,341.4,665.04,,,,,52.88,91.27,47.22,22.26,308.3672222,155.1538889
2022/4/8 0:21,341.4,665.04,,,,,52.88,91.27,47.22,22.26,308.4491667,155.1241667
2022/4/8 0:22,341.4,665.04,,,,,52.88,91.27,47.22,22.26,308.5311111,155.0944444
2022/4/8 0:23,341.4,665.04,,,,,52.88,91.27,47.22,22.26,308.6130556,155.0647222
