Time,Temperature of system I,Temperature of system II,index A,index B,index C,index D,Mineral_parameter_1,Mineral_parameter_2,Mineral_parameter_3,Mineral_parameter_4,Process parameter 3,Process parameter 4
2022/4/10 0:00,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 0:01,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 0:02,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 0:03,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 0:04,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 0:05,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 0:06,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 0:07,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 0:08,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 0:09,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 0:10,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 0:11,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 0:12,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 0:13,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 0:14,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 0:15,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 0:16,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 0:17,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 0:18,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 0:19,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 0:20,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 0:21,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 0:22,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 0:23,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 0:24,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 0:25,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 0:26,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 0:27,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 0:28,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 0:29,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 0:30,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 0:31,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 0:32,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 0:33,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 0:34,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 0:35,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 0:36,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 0:37,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 0:38,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 0:39,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 0:40,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 0:41,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 0:42,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 0:43,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 0:44,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 0:45,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 0:46,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 0:47,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 0:48,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 0:49,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 0:50,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 0:51,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 0:52,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 0:53,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 0:54,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 0:55,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 0:56,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 0:57,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 0:58,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 0:59,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:00,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:01,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:02,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:03,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:04,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:05,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:06,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:07,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:08,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:09,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:10,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:11,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:12,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:13,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:14,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:15,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:16,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:17,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:18,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:19,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:20,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:21,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:22,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:23,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:24,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:25,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:26,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:27,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:28,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:29,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:30,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:31,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:32,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:33,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:34,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:35,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:36,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:37,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:38,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:39,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:40,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:41,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:42,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:43,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:44,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:45,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:46,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:47,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:48,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:49,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:50,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:51,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:52,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:53,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:54,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:55,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:56,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:57,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:58,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 1:59,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 2:00,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 2:01,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 2:02,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 2:03,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 2:04,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 2:05,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 2:06,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 2:07,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 2:08,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 2:09,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 2:10,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 2:11,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 2:12,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 2:13,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 2:14,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 2:15,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 2:16,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 2:17,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 2:18,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 2:19,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 2:20,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 2:21,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 2:22,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 2:23,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 2:24,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 2:25,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 2:26,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 2:27,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 2:28,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 2:29,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 2:30,,,,,,,56.27,111.38,47.52,20.26,290.75,160.56
2022/4/10 2:31,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 2:32,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 2:33,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 2:34,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 2:35,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 2:36,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 2:37,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 2:38,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 2:39,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 2:40,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 2:41,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 2:42,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 2:43,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 2:44,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 2:45,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 2:46,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 2:47,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 2:48,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 2:49,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 2:50,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 2:51,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 2:52,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 2:53,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 2:54,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 2:55,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 2:56,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 2:57,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 2:58,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 2:59,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 3:00,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 3:01,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 3:02,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 3:03,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 3:04,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 3:05,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 3:06,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 3:07,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 3:08,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 3:09,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 3:10,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 3:11,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 3:12,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 3:13,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 3:14,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 3:15,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 3:16,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 3:17,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 3:18,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 3:19,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 3:20,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 3:21,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 3:22,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 3:23,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 3:24,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 3:25,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 3:26,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 3:27,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 3:28,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 3:29,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 3:30,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 3:31,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 3:32,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 3:33,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 3:34,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 3:35,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 3:36,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 3:37,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 3:38,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 3:39,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 3:40,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 3:41,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 3:42,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 3:43,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 3:44,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 3:45,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 3:46,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 3:47,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 3:48,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 3:49,,,,,,,56.27,111.38,47.52,20.26,,
2022/4/10 3:50,,,,,,,56.27,111.38,47.52,20.26,,
