Time,Temperature of system I,Temperature of system II,index A,index B,index C,index D,Mineral_parameter_1,Mineral_parameter_2,Mineral_parameter_3,Mineral_parameter_4,Process parameter 3,Process parameter 4
2022/4/10 0:00,,,,,,,56.27,111.38,47.52,20.26,281.4083333,164.435
2022/4/10 0:01,,,,,,,56.27,111.38,47.52,20.26,281.4706111,164.4091667
2022/4/10 0:02,,,,,,,56.27,111.38,47.52,20.26,281.5328889,164.3833333
2022/4/10 0:03,,,,,,,56.27,111.38,47.52,20.26,281.5951667,164.3575
2022/4/10 0:04,,,,,,,56.27,111.38,47.52,20.26,281.6574444,164.3316667
2022/4/10 0:05,,,,,,,56.27,111.38,47.52,20.26,281.7197222,164.3058333
2022/4/10 0:06,,,,,,,56.27,111.38,47.52,20.26,281.782,164.28
2022/4/10 0:07,,,,,,,56.27,111.38,47.52,20.26,281.8442778,164.2541667
2022/4/10 0:08,,,,,,,56.27,111.38,47.52,20.26,281.9065556,164.2283333
2022/4/10 0:09,,,,,,,56.27,111.38,47.52,20.26,281.9688333,164.2025
2022/4/10 0:10,,,,,,,56.27,111.38,47.52,20.26,282.0311111,164.1766667
2022/4/10 0:11,,,,,,,56.27,111.38,47.52,20.26,282.0933889,164.1508333
2022/4/10 0:12,,,,,,,56.27,111.38,47.52,20.26,282.1556667,164.125
2022/4/10 0:13,,,,,,,56.27,111.38,47.52,20.26,282.2179444,164.0991667
2022/4/10 0:14,,,,,,,56.27,111.38,47.52,20.26,282.2802222,164.0733333
2022/4/10 0:15,,,,,,,56.27,111.38,47.52,20.26,282.3425,164.0475
2022/4/10 0:16,,,,,,,56.27,111.38,47.52,20.26,282.4047778,164.0216667
2022/4/10 0:17,,,,,,,56.27,111.38,47.52,20.26,282.4670556,163.9958333
2022/4/10 0:18,,,,,,,56.27,111.38,47.52,20.26,282.5293333,163.97
2022/4/10 0:19,,,,,,,56.27,111.38,47.52,20.26,282.5916111,163.9441667
2022/4/10 0:20,,,,,,,56.27,111.38,47.52,20.26,282.6538889,163.9183333
2022/4/10 0:21,,,,,,,56.27,111.38,47.52,20.26,282.7161667,163.8925
2022/4/10 0:22,,,,,,,56.27,111.38,47.52,20.26,282.7784444,163.8666667
2022/4/10 0:23,,,,,,,56.27,111.38,47.52,20.26,282.8407222,163.8408333
2022/4/10 0:24,,,,,,,56.27,111.38,47.52,20.26,282.903,163.815
2022/4/10 0:25,,,,,,,56.27,111.38,47.52,20.26,282.9652778,163.7891667
2022/4/10 0:26,,,,,,,56.27,111.38,47.52,20.26,283.0275556,163.7633333
2022/4/10 0:27,,,,,,,56.27,111.38,47.52,20.26,283.0898333,163.7375
2022/4/10 0:28,,,,,,,56.27,111.38,47.52,20.26,283.1521111,163.7116667
2022/4/10 0:29,,,,,,,56.27,111.38,47.52,20.26,283.2143889,163.6858333
2022/4/10 0:30,,,,,,,56.27,111.38,47.52,20.26,283.2766667,163.66
2022/4/10 0:31,,,,,,,56.27,111.38,47.52,20.26,283.3389444,163.6341667
2022/4/10 0:32,,,,,,,56.27,111.38,47.52,20.26,283.4012222,163.6083333
2022/4/10 0:33,,,,,,,56.27,111.38,47.52,20.26,283.4635,163.5825
2022/4/10 0:34,,,,,,,56.27,111.38,47.52,20.26,283.5257778,163.5566667
2022/4/10 0:35,,,,,,,56.27,111.38,47.52,20.26,283.5880556,163.5308333
2022/4/10 0:36,,,,,,,56.27,111.38,47.52,20.26,283.6503333,163.505
2022/4/10 0:37,,,,,,,56.27,111.38,47.52,20.26,283.7126111,163.4791667
