,index A,index B,index C,index D
39.0,79.158455,23.886093,10.84229,13.2229595
39.5,79.158455,23.886093,10.84229,13.2229595
40.0,79.158455,23.886093,10.84229,13.2229595
40.5,79.158455,23.886093,10.84229,13.2229595
41.0,79.158455,23.886093,10.84229,13.2229595
41.5,79.158455,23.886093,10.84229,13.2229595
42.0,79.158455,23.886093,10.84229,13.2229595
42.5,79.158455,23.886093,10.84229,13.2229595
43.0,79.207306,24.01771,11.121466,12.502225
43.5,79.18784,24.24904,11.304018,12.82529
44.0,79.22164,24.198145,11.38707,13.0090065
44.5,79.18727,24.198145,11.416652,13.0090065
45.0,79.18727,24.198145,11.416652,12.746071
45.5,79.20463,24.2015,11.124065,12.72517
46.0,79.236855,24.216396,11.118015,12.855971
46.5,79.236855,24.216396,11.118015,12.832859
47.0,79.236855,24.09257,11.077317,12.832859
47.5,79.2127,23.954004,11.257867,13.162544
48.0,79.27906,23.98302,11.362372,13.333705
48.5,79.27906,24.119171,10.9426565,13.333705
49.0,79.192345,24.119171,10.902716,13.23409
49.5,79.32283,24.11315,10.890541,13.536637
50.0,79.32283,24.11315,11.333898,14.392632
50.5,79.81056,24.198717,12.0190735,14.392632
51.0,79.320015,24.209808,12.118983,14.238205
51.5,79.320015,24.209808,12.118983,14.213316
52.0,79.320015,24.220055,12.118983,14.213316
52.5,79.320015,24.220055,12.118983,14.213316
