,index A,index B,index C,index D
110.0,78.85831,24.782066,11.180794,13.452341
113.5,78.85831,24.782066,11.180794,13.452341
117.0,78.85831,25.055601,11.180794,13.452341
120.5,78.85831,25.055601,11.148386,13.433469
124.0,78.85831,25.016987,11.088268,13.433469
127.5,79.091545,24.798906,11.040701,13.271759
131.0,79.091545,24.107933,11.040701,13.453266
134.5,79.18396,23.62846,10.975526,13.453266
138.0,79.09935,23.708557,10.786801,13.019072
141.5,79.08163,23.94521,10.917646,12.93589
145.0,79.10529,24.08937,11.003625,13.098591
148.5,79.06519,23.944221,10.999965,13.1039715
152.0,79.05933,24.158396,11.070336,13.214939
155.5,79.27418,24.2412,10.860302,13.026654
159.0,79.32154,24.096199,10.735459,12.635263
162.5,79.32209,24.160507,10.645651,12.791526
166.0,79.3433,24.18582,10.8498335,12.874804
169.5,79.41687,23.299746,10.8798,12.850435
173.0,79.2444,23.00601,10.818702,12.687842
176.5,79.26989,23.053381,10.798358,13.107208
180.0,79.26989,23.13364,10.846186,13.107208
183.5,79.26989,23.265568,10.846186,13.107208
187.0,79.26989,23.426872,10.836234,13.107208
190.5,79.26989,23.426872,10.934106,13.107208
194.0,79.26989,23.426872,10.934106,13.107208
