Time,Temperature of system I,Temperature of system II,index A,index B,index C,index D,Mineral_parameter_1,Mineral_parameter_2,Mineral_parameter_3,Mineral_parameter_4
2022/1/13 0:01,1173.81,814.93,,,,,49.24,90.38,46.13,28.16
2022/1/13 0:02,1172.7,813.51,,,,,49.24,90.38,46.13,28.16
2022/1/13 0:03,1172.92,813.71,,,,,49.24,90.38,46.13,28.16
2022/1/13 0:04,1173.19,813.69,,,,,49.24,90.38,46.13,28.16
2022/1/13 0:05,1173.06,813.8,,,,,49.24,90.38,46.13,28.16
2022/1/13 0:06,1173.15,813.53,,,,,49.24,90.38,46.13,28.16
2022/1/13 0:07,1172.92,814.02,,,,,49.24,90.38,46.13,28.16
2022/1/13 0:08,1172.92,813.59,,,,,49.24,90.38,46.13,28.16
2022/1/13 0:09,1172.57,813.91,,,,,49.24,90.38,46.13,28.16
2022/1/13 0:10,1172.92,814.01,,,,,49.24,90.38,46.13,28.16
2022/1/13 0:11,1173.32,813.7,,,,,49.24,90.38,46.13,28.16
2022/1/13 0:12,1172.7,813.76,,,,,49.24,90.38,46.13,28.16
2022/1/13 0:13,1173.9,813.81,,,,,49.24,90.38,46.13,28.16
2022/1/13 0:14,1173.01,813.68,,,,,49.24,90.38,46.13,28.16
2022/1/13 0:15,1173.23,814.61,,,,,49.24,90.38,46.13,28.16
2022/1/13 0:16,1173.32,813.89,,,,,49.24,90.38,46.13,28.16
2022/1/13 0:17,1172.35,813.65,,,,,49.24,90.38,46.13,28.16
2022/1/13 0:18,1172.35,813.63,,,,,49.24,90.38,46.13,28.16
2022/1/13 0:19,1172.96,814.11,,,,,49.24,90.38,46.13,28.16
2022/1/13 0:20,1173.1,813.65,,,,,49.24,90.38,46.13,28.16
2022/1/13 0:21,1173.18,813.78,,,,,49.24,90.38,46.13,28.16
2022/1/13 0:22,1172.17,813.1,,,,,49.24,90.38,46.13,28.16
2022/1/13 0:23,1173.41,813.57,,,,,49.24,90.38,46.13,28.16
2022/1/13 0:24,1172.84,814.1,,,,,49.24,90.38,46.13,28.16
2022/1/13 0:25,1173.54,813.55,,,,,49.24,90.38,46.13,28.16
2022/1/13 0:26,1173.14,814.79,,,,,49.24,90.38,46.13,28.16
2022/1/13 0:27,1171.37,812.55,,,,,49.24,90.38,46.13,28.16
2022/1/13 0:28,1173.32,813.98,,,,,49.24,90.38,46.13,28.16
2022/1/13 0:29,1171.86,811.75,,,,,49.24,90.38,46.13,28.16
2022/1/13 0:30,1173.23,813.33,,,,,49.24,90.38,46.13,28.16
2022/1/13 0:31,1172.48,813.05,,,,,49.24,90.38,46.13,28.16
2022/1/13 0:32,1171.86,813.27,,,,,49.24,90.38,46.13,28.16
2022/1/13 0:33,1172.88,813.32,,,,,49.24,90.38,46.13,28.16
2022/1/13 0:34,1172.57,813.6,,,,,49.24,90.38,46.13,28.16
2022/1/13 0:35,1172.83,813.47,,,,,49.24,90.38,46.13,28.16
2022/1/13 0:36,1172.79,813.18,,,,,49.24,90.38,46.13,28.16
